player_name,player_id,current_team,position,candidate_type,expected_salary,salary_source,source_note
Jalen Duren,1631105,DET,,trade_target,6483144.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Jalen Johnson,1630552,ATL,,trade_target,30000000.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Jalen Smith,1630188,CHI,,trade_target,9000000.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Jalen Suggs,1630591,ORL,,trade_target,35000000.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Jamal Murray,1627750,DEN,,trade_target,46394100.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Jamal Shead,1642347,TOR,,trade_target,1955377.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
James Harden,201935,CLE,,trade_target,39182693.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Jamir Watkins,1642364,WAS,,manual_watchlist,,missing,"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). No salary matched online - add a real value manually."
Jarace Walker,1641716,IND,,trade_target,6665520.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Jared McCain,1642272,OKC,,trade_target,4221360.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Jaren Jackson Jr.,1628991,UTA,,trade_target,35000000.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
